Book_Title,Author,Book_Publisher,Rating,Price
" Трое в лодке, не считая собаки",Джером Джером ,Лабиринт,4.5,4056
 Приключения Алисы в Стране Чудес,Льюис Кэрролл ,Лабиринт,4.4,3160
 Остров Сокровищ,Роберт Стивенсон ,Лабиринт,4.7,3945
 Затерянный мир,Артур Дойл ,Лабиринт,4.4,3410
 Вокруг света в восемьдесят дней,Жюль Верн ,Лабиринт,4.1,3816
" Алиса в Зазеркалье, или Сквозь зеркало и что там увидела Алиса",Льюис Кэрролл ,Лабиринт,4.5,3160
 Записки о Шерлоке Холмсе,Артур Дойл ,Лабиринт,4.5,2793
 Екатерина II,Дмитрий Меркулов ,Лабиринт,4.1,3160
 Восьмилетний человек,Виктория Ледерман ,Пять четвертей,5,830
Великая Отечественная война. 1941-1945,"Кассиль, Астафьев ",Лабиринт,4.6,3687
"Экспедиция ""Кон-Тики""",Тур Хейердал ,Лабиринт,4.2,3613
 Приключения Шерлока Холмса,Артур Дойл ,Лабиринт,4.5,3512
 К Пушкину в Лицей,Анна Рапопорт ,Качели,4.5,388
 Маленькая косатка,Михаил Нагайлик ,Абраказябра,4.8,680
" Лицей ""Морская миля""",Елена Бурак ,Абраказябра,5,507
 Капитанская дочка,Александр Пушкин ,Лабиринт,4,2544
 Таёжная сказка,Екатерина Шелеметьева ,Пять четвертей,4.6,730
 Исчезнувшие буквы алфавита,Леонид Кочетков ,Настя и Никита,4.6,174
 Книга будущих командиров,Анатолий Митяев ,Лабиринт,4.4,2931
 Дверь в Англию,Юлия Мазурова ,Абраказябра,4.6,647
 Владимир Даль,Александр Ткаченко ,Настя и Никита,4.7,152
 Томасина,Пол Гэллико ,Лабиринт,4.6,1029
 Как строилась Москва,Денис Дроздов ,Качели,4.3,1189
 Дело о пропавших пчёлах,Дарья Плаксунова ,Абраказябра,4.4,802
 Приключения Шерлока Холмса (тканевая обложка),Артур Дойл ,Лабиринт,4.6,4129
 Аленький цветочек. Сказка ключницы Пелагеи,Сергей Аксаков ,Лабиринт,3.8,1032
Веселые задания для детей 4-5 лет (розовая),Елена Бортникова ,Литур,4.7,30
океане,Волшебные контуры №2. В море,Феникс-Премьер,4.2,65
 Альберт Эйнштейн и его теория относительности,Карл Уилкинсон ,Лабиринт,4.6,1530
 Зов предков,Джек Лондон ,Лабиринт,4.3,3816
 Фортепиано. Король музыкальных инструментов,Дина Арсеньева ,Настя и Никита,5,174
 Камчатка. Снежная и огненная,Анастасия Кудряшова ,Настя и Никита,5,152
" Алиса в Зазеркалье, или Сквозь зеркало и что там увидела Алиса (тканевая обложка)",Льюис Кэрролл ,Лабиринт,4.4,3716
Кукла. Старинная забава в английском вкусе,Кукла. Старинная забава в английском вкусе,Лабиринт,4.2,1021
" Карелия. Край рек, озёр и лесов",Светлана Горева ,Настя и Никита,4.8,174
 Зеркало алхимика,Юлия Мазурова ,Абраказябра,4.7,672
Земля Санникова. В 2-х томах,Владимир Обручев ,Лабиринт,4.2,6360
 Коза и великаны,Станислав Востоков ,Волчок,4.9,664
 Сказочный Сахалин,Александра Агафонова ,PressPass,5,579
 Чужие окна,Маша Лукашкина ,Волчок,4.8,271
 Капитан Крузенштерн,Николай Чуковский ,Лабиринт,4.3,4203
" Кыш, Двапортфеля и целая неделя",Юз Алешковский ,Лабиринт,4.4,904
" Дом, который построил Джек",Самуил Маршак ,Лабиринт,4.2,1042
 Арктика. Ледяная шапка Земли,Хельга Патаки ,Настя и Никита,4.3,152
 Пётр I,"Новичкова, Бунтман ",Лабиринт,3.9,4268
Шоколадно-аппетитная история,Юлия Иванова ,Настя и Никита,4.9,174
 Коломенское. Дача русских царей,Надежда Щербакова ,Настя и Никита,4.5,174
 Тропы Аиды,Кристина Стрельникова ,Пять четвертей,4.3,871
Сказочная Камчатка,Сказочная Камчатка,PressPass,4.2,579
 Синяя птица,Морис Метерлинк ,Качели,5,680
 Лермонтов. Трудный подросток русской литературы,Наталья Ключарева ,Настя и Никита,4.1,174
 След косули,Зуля Стадник ,Пять четвертей,4.3,1203
 Сказочная экономика для детей,Татьяна Попова ,Абраказябра,4.4,572
 За синей дверью,"Бордон, Лукьянова ",Волчок,4.6,233
 25 очень странных писем. Забавный тренажер по чтению для школьников,Юлия Кузнецова ,Абраказябра,5,581
 Жизнь и удивительные приключения морехода Робинзона Крузо,Даниель Дефо ,Лабиринт,4.5,1659
" Где дневник, Дериволков?",Наталья Вишнякова ,Пять четвертей,4.6,1106
