Автор,Количество книг,Список книг
Пулман Филип,13,"Темные начала. Книга 1. Северное сияние, <br>Темные начала. Книга 2. Чудесный нож, <br>Темные начала. Книга 3. Янтарный телескоп, <br>Темные начала. Том 3. Янтарный телескоп, <br>Темные начала. Том 2. Чудесный нож, <br>Темные начала. Том 1. Северное сияние, <br>Темные начала. Книга 3. Янтарный телескоп (новая обложка), <br>Книга Пыли. Тайное содружество, <br>Таинственные расследования Салли Локхарт. Тигр в колодце. Оловянная принцесса, <br>Северное сияние. Юбилейное издание с иллюстрациями, <br>Таинственные расследования Салли Локхарт. Рубин во мгле. Тень ""Полярной звезды"", <br>Сказки Филипа Пулмана. Граф Карлштайн, или Дикая Охота. Джек Пружинные Пятки, <br>Сказки Филипа Пулмана. Дочь изобретателя фейерверков. Часовой механизм, или Все заведено"
Брэльер Макс,10,"Последние подростки на Земле. Безумное приключение Джун, <br>Последние подростки на Земле и Король кошмаров, <br>Последние подростки на Земле и парад зомби, <br>Последние подростки на Земле. Дорога скелетов, <br>Последние подростки на Земле, <br>Последние подростки на Земле и Полночный клинок, <br>Последние подростки на Земле и Вселенское Запределье, <br>Последние подростки на Земле: за гранью невероятного, <br>Галактические хот-доги. Космо наносит ответный удар, <br>Галактические хот-доги. Космо, мальчик с Земли"
Булычев Кир,8,"Путешествие Алисы, <br>Путешествие Алисы, <br>Гостья из будущего, <br>Гостья из будущего, <br>День рождения Алисы, <br>Путешествие Алисы, <br>Звездный пес, <br>Алиса Селезнёва в Заповеднике сказок"
Колфер Крис,5,"Страна Сказок. Заклинание желаний. Иллюстрированное издание, <br>Страна Сказок. Заклинание желаний, <br>Страна сказок. Авторская одиссея, <br>История о колдовстве, <br>Извилистое Дерево"
Сазерленд Туи Т.,5,"Драконья сага. Потерянная принцесса, <br>Драконья сага. Пророчество о драконятах, <br>Зверинец, <br>Кракены и ложь, <br>Зверинец. Суд над драконом"
Стюарт Пол,5,"Змеиная пустошь. Секрет подземелья, <br>Хроники Края. Академик Вокс, <br>Хроники Края. Последний воздушный пират, <br>Хроники Края. За Темными лесами, <br>Хроники Края. Полночь над Санктафраксом"
Кивижер Паскаль,4,"Королевство Краеугольного Камня. Отвага. Книга 4, <br>Королевство Краеугольного Камня. Прощание. Книга 3, <br>Королевство Краеугольного Камня. Первеницы мая. Книга 2, <br>Королевство Краеугольного Камня. Мастер крушений. Книга 1"
Даль Роальд,3,"Чарли и большой стеклянный лифт, <br>Ведьмы, <br>Чарли и шоколадная фабрика"
Рихтер Александрия,3,"Кристофер Клин и проклятье туманных вод, <br>Кристофер Клин и два короля, <br>Кристофер Клин и два короля"
Пюиссегюр Ален Т.,3,"Поместье Каслкотц. Слёзы Цернунна, <br>Поместье Каслкотц. Иномирье просыпается, <br>Легенды Ивернии из мира Minecraft"
Чубарова Надежда Александровна,3,"Слуга тьмы, <br>Софья и Царство Тьмы, <br>Найдана. Дар ведьмы"
Яковлева Юлия,3,"Глиняные пчёлы, <br>Волчье небо, <br>Дети ворона"
Беляев Александр Романович,3,"Голова профессора Доуэля, <br>Продавец воздуха, <br>Ариэль"
Гейман Нил,3,"Коралина с иллюстрациями Криса Ридделла, <br>История с кладбищем, <br>Одд и Ледяные великаны с иллюстрациями Криса Ридделла"
другие,131,-
